iter	Passed	Remaining
313	63883	139567
314	64099	139389
315	64311	139205
316	64522	139019
317	64743	138852
318	64917	138585
319	65131	138404
320	65340	138212
321	65560	138043
322	65767	137847
323	65979	137661
324	66190	137473
325	66403	137288
326	66616	137103
327	66830	136920
328	67049	136748
329	67263	136564
330	67474	136376
331	67693	136202
332	67911	136027
333	68126	135845
334	68303	135587
335	68517	135403
336	68726	135209
337	68942	135029
338	69157	134846
339	69373	134666
340	69591	134488
341	69800	134294
342	70017	134115
343	70237	133941
344	70382	133625
345	70592	133432
346	70768	133174
347	70977	132981
348	71125	132672
349	71339	132486
350	71552	132299
351	71702	131997
352	71879	131745
353	72088	131552
354	72234	131243
355	72449	131061
356	72657	130864
357	72868	130674
358	73084	130493
359	73291	130295
360	73472	130051
361	73644	129792
362	73861	129612
363	74011	129316
364	74189	129069
365	74406	128890
366	74615	128695
367	74834	128519
368	74981	128220
369	75190	128027
370	75397	127829
371	75614	127649
372	75819	127450
373	76003	127213
374	76237	127062
375	76450	126875
376	76596	126576
377	76805	126383
378	77013	126188
379	77230	126006
380	77409	125765
381	77621	125576
382	77835	125389
383	78047	125200
384	78261	125014
385	78486	124847
386	78663	124601
387	78868	124400
388	79079	124209
389	79291	124020
390	79521	123857
391	79735	123671
392	79910	123424
393	80118	123228
394	80323	123026
395	80470	122737
396	80688	122556
397	80907	122377
398	81084	122134
399	81300	121951
400	81510	121756
401	81723	121568
402	81934	121377
403	82147	121187
404	82360	120998
405	82572	120808
406	82787	120621
407	83001	120433
408	83217	120247
409	83435	120065
410	83649	119876
411	83861	119685
412	84082	119506
413	84307	119333
414	84520	119142
415	84734	118954
416	84947	118763
417	85091	118476
418	85303	118284
419	85482	118047
420	85660	117809
421	85873	117618
422	86091	117434
423	86301	117240
424	86520	117056
425	86730	116862
426	86948	116677
427	87163	116489
428	87342	116253
429	87557	116063
430	87770	115873
431	87989	115689
432	88206	115504
433	88421	115314
434	88657	115152
435	88875	114967
436	89085	114772
437	89303	114585
438	89520	114398
439	89727	114198
440	89940	114006
441	90156	113817
442	90366	113621
443	90546	113387
444	90761	113196
445	90966	112994
446	91185	112809
447	91397	112615
448	91609	112420
449	91819	112224
450	91993	111983
451	92171	111747
452	92387	111558
453	92606	111372
454	92818	111178
455	93027	110980
456	93242	110789
457	93457	110598
458	93669	110403
459	93882	110209
460	94091	110011
461	94307	109820
462	94521	109628
463	94733	109433
464	94947	109240
465	95125	109006
466	95270	108734
467	95484	108542
468	95700	108351
469	95916	108161
470	96130	107968
471	96342	107772
472	96555	107578
473	96768	107384
474	96912	107114
475	97122	106915
476	97339	106726
477	97554	106534
478	97762	106335
479	97976	106140
480	98195	105953
481	98411	105761
482	98624	105567
483	98838	105372
484	99047	105174
485	99258	104977
486	99476	104787
487	99689	104592
488	99899	104393
489	100121	104207
490	100333	104012
491	100548	103818
492	100760	103621
493	100973	103426
494	101188	103232
495	101404	103040
496	101622	102848
497	101879	102698
498	102099	102508
499	102320	102320
500	102543	102134
501	102760	101941
502	102975	101746
503	103189	101551
504	103403	101355
505	103616	101159
506	103833	100965
507	104053	100775
508	104211	100526
509	104432	100336
510	104643	100138
511	104859	99944
512	105076	99751
513	105295	99559
514	105512	99365
515	105730	99173
516	105946	98979
517	106159	98782
518	106369	98581
519	106519	98325
520	106730	98126
521	106944	97929
522	107162	97737
523	107380	97543
524	107597	97350
525	107744	97092
526	107957	96895
527	108172	96699
528	108389	96505
529	108604	96309
530	108816	96111
531	108998	95885
532	109209	95686
533	109427	95492
534	109643	95297
535	109863	95105
536	110076	94907
537	110292	94711
538	110505	94514
539	110682	94285
540	110897	94088
541	111114	93894
542	111333	93700
543	111547	93503
544	111757	93302
545	111970	93103
546	112188	92908
547	112401	92710
548	112619	92516
549	112834	92319
550	113051	92123
551	113263	91923
552	113481	91729
553	113699	91534
554	113937	91354
555	114148	91154
556	114359	90953
557	114578	90759
558	114789	90558
559	114998	90356
560	115213	90157
561	115431	89962
562	115642	89761
563	115859	89565
564	116076	89368
565	116291	89170
566	116508	88974
567	116721	88774
568	116906	88553
569	117055	88304
570	117268	88105
571	117478	87903
572	117693	87705
573	117907	87506
574	118127	87311
575	118342	87113
576	118552	86911
577	118766	86711
578	118977	86510
579	119191	86310
580	119406	86112
581	119622	85914
582	119840	85717
583	120053	85517
584	120265	85316
585	120484	85120
586	120706	84926
587	120925	84729
588	121137	84528
589	121357	84333
590	121571	84133
591	121782	83930
592	121998	83732
593	122214	83533
594	122426	83332
595	122640	83131
596	122872	82943
597	123096	82750
598	123314	82552
599	123532	82355
600	123751	82158
601	123967	81958
602	124179	81756
603	124391	81554
604	124606	81354
605	124821	81154
606	125041	80957
607	125264	80762
608	125502	80576
609	125718	80377
610	125929	80174
611	126148	79976
612	126359	79773
613	126573	79572
614	126779	79366
615	126993	79164
616	127201	78959
617	127415	78758
618	127632	78558
619	127839	78353
620	128051	78150
621	128264	77948
622	128479	77747
623	128691	77544
624	128911	77347
625	129121	77142
626	129336	76941
627	129546	76737
628	129767	76540
629	129981	76338
630	130200	76139
631	130420	75941
632	130640	75742
633	130854	75540
634	131071	75340
635	131283	75136
636	131492	74932
637	131707	74730
638	131922	74528
639	132143	74330
640	132364	74132
641	132575	73928
642	132793	73728
643	133005	73524
644	133219	73322
645	133431	73118
646	133643	72915
647	133863	72715
648	134079	72514
649	134296	72313
650	134518	72115
651	134729	71910
652	134907	71688
653	135118	71484
654	135332	71282
655	135551	71082
656	135763	70877
657	135975	70674
658	136188	70470
659	136399	70266
660	136615	70064
661	136833	69863
662	137051	69662
663	137270	69462
664	137512	69273
665	137729	69071
666	137943	68868
667	138160	68666
668	138378	68465
669	138591	68261
670	138805	68058
671	139020	67855
672	139236	67652
673	139451	67449
674	139669	67248
675	139881	67043
676	140097	66841
677	140277	66621
678	140490	66417
679	140702	66212
680	140920	66011
681	141133	65806
682	141347	65603
683	141568	65402
684	141779	65197
685	141994	64994
686	142211	64792
687	142425	64588
688	142648	64388
689	142860	64183
690	143078	63981
691	143292	63777
692	143508	63574
693	143725	63371
694	143943	63169
695	144159	62966
696	144375	62763
697	144594	62561
698	144808	62356
699	145020	62151
700	145235	61948
701	145452	61744
702	145666	61540
703	145813	61308
704	146033	61106
705	146249	60902
706	146460	60697
707	146671	60491
708	146884	60286
709	147100	60083
710	147309	59876
711	147523	59672
712	147741	59469
713	147954	59264
714	148172	59061
715	148388	58857
716	148607	58655
717	148848	58461
718	149069	58259
719	149290	58057
720	149501	57851
721	149717	57647
722	149930	57442
723	150144	57237
724	150360	57033
725	150578	56830
726	150794	56625
727	150971	56406
728	151189	56203
729	151398	55996
730	151616	55793
731	151833	55589
732	152048	55384
733	152263	55180
734	152484	54977
735	152704	54774
736	152920	54570
737	153136	54365
738	153350	54160
739	153561	53954
740	153778	53749
741	153995	53545
742	154209	53340
743	154423	53134
744	154640	52930
745	154854	52725
746	155066	52519
747	155281	52313
748	155499	52109
749	155714	51904
750	155932	51700
751	156152	51497
752	156369	51292
753	156586	51087
754	156800	50882
755	157010	50675
756	157220	50468
757	157433	50262
758	157649	50057
759	157868	49853
760	158079	49646
761	158297	49442
762	158518	49238
763	158731	49032
764	158946	48826
765	159153	48618
766	159367	48412
767	159545	48195
768	159786	47998
769	160007	47794
770	160222	47588
771	160434	47382
772	160651	47177
773	160871	46972
774	161084	46766
775	161298	46560
776	161516	46355
777	161728	46148
778	161940	45942
779	162158	45736
780	162378	45532
781	162592	45326
782	162815	45122
783	162965	44898
784	163179	44692
785	163395	44486
786	163608	44280
787	163820	44073
788	164034	43867
789	164244	43660
790	164463	43454
791	164679	43249
792	164890	43041
793	165102	42835
794	165314	42628
795	165534	42423
796	165745	42216
797	165961	42010
798	166177	41804
799	166397	41599
800	166609	41392
801	166824	41186
802	167038	40979
803	167216	40764
804	167431	40557
805	167645	40351
806	167861	40145
807	168074	39938
808	168290	39732
809	168500	39524
810	168714	39318
811	168925	39110
812	169140	38904
813	169353	38697
814	169566	38490
815	169780	38283
816	169990	38076
817	170206	37869
818	170422	37663
819	170605	37449
820	170815	37242
821	171027	37035
822	171242	36828
823	171462	36623
824	171679	36416
825	171921	36215
826	172134	36008
827	172350	35802
828	172570	35596
829	172784	35389
830	172999	35182
831	173213	34975
832	173434	34770
833	173648	34563
834	173868	34357
835	174083	34150
836	174300	33943
837	174517	33737
838	174733	33530
839	174954	33324
840	175169	33117
841	175382	32910
842	175599	32703
843	175806	32495
844	176024	32288
845	176242	32081
846	176460	31875
847	176672	31667
848	176884	31459
849	177096	31252
850	177312	31045
851	177529	30838
852	177746	30631
853	177924	30417
854	178138	30210
855	178351	30003
856	178570	29796
857	178787	29589
858	178998	29381
859	179211	29173
860	179433	28967
861	179653	28761
862	179879	28555
863	180094	28348
864	180312	28141
865	180528	27933
866	180739	27725
867	180958	27519
868	181171	27311
869	181386	27103
870	181594	26895
871	181805	26687
872	182022	26479
873	182238	26272
874	182457	26065
875	182672	25857
876	182895	25651
877	183142	25448
878	183361	25240
879	183576	25033
880	183790	24825
881	184002	24617
882	184219	24409
883	184437	24202
884	184647	23993
885	184862	23785
886	185074	23577
887	185289	23369
888	185510	23162
889	185732	22955
890	185948	22747
891	186170	22540
892	186351	22328
893	186570	22121
894	186783	21913
895	186998	21705
896	187211	21496
897	187429	21289
898	187641	21080
899	187859	20873
900	188078	20665
901	188292	20457
902	188508	20249
903	188723	20041
904	188939	19833
905	189149	19624
906	189366	19416
907	189577	19208
908	189790	18999
909	190006	18791
910	190223	18583
911	190440	18375
912	190659	18167
913	190883	17960
914	191098	17752
915	191324	17545
916	191541	17336
917	191766	17129
918	191981	16921
919	192198	16712
920	192415	16504
921	192636	16296
922	192854	16088
923	193070	15880
924	193289	15672
925	193510	15464
926	193766	15258
927	193981	15050
928	194195	14841
929	194412	14633
930	194631	14424
931	194850	14216
932	195068	14008
933	195286	13799
934	195503	13591
935	195718	13382
936	195937	13174
937	196151	12965
938	196367	12756
939	196581	12547
940	196798	12339
941	197015	12130
942	197236	11922
943	197455	11713
944	197670	11504
945	197881	11295
946	198103	11087
947	198323	10878
948	198541	10669
949	198755	10460
950	198980	10252
951	199200	10043
952	199416	9834
953	199640	9626
954	199857	9417
955	200074	9208
956	200289	8999
957	200511	8790
958	200728	8581
959	200946	8372
960	201159	8163
961	201379	7954
962	201595	7745
963	201814	7536
964	202034	7327
965	202251	7118
966	202469	6909
967	202692	6700
968	202906	6491
969	203121	6282
970	203329	6072
971	203543	5863
972	203757	5654
973	203976	5444
974	204197	5235
975	204415	5026
976	204629	4817
977	204873	4608
978	205097	4399
979	205313	4190
980	205527	3980
981	205741	3771
982	205957	3561
983	206173	3352
984	206388	3142
985	206609	2933
986	206829	2724
987	207059	2514
988	207273	2305
989	207495	2095
990	207711	1886
991	207927	1676
992	208148	1467
993	208364	1257
994	208577	1048
995	208795	838
996	209018	628
997	209237	419
998	209452	209
999	209666	0
